,Word,Definitions
107,seminar,any meeting for an exchange of ideas
108,item,a distinct part that can be specified separately in a group of things that could be enumerated on a list
109,expand,NO DEFINITION FOUND
110,soft,NO DEFINITION FOUND
111,monster,an imaginary creature usually having various human and animal parts
112,deer,distinguished from Bovidae by the male's having solid deciduous antlers
113,glacier,a slowly moving mass of ice
114,tablet,a slab of stone or wood suitable for bearing an inscription
115,peel,British politician (1788-1850)
116,lion,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
117,achievement,the action of accomplishing something
118,shame,a painful emotion resulting from an awareness of inadequacy or guilt
119,exposure,vulnerability to the elements; to the action of heat or cold or wind or rain; 
120,cooperative,a jointly owned commercial enterprise (usually organized by farmers or consumers) that produces and distributes goods and services and is run for the benefit of its owners
121,season,a period of the year marked by special events or activities in some field
122,program,a series of steps to be carried out or goals to be accomplished
123,agree,NO DEFINITION FOUND
124,routine,an unvarying or habitual method or procedure
125,direction,a line leading to a place or point
126,stake,(law) a right or legal share of something; a financial involvement with something
127,screw,someone who guards prisoners
128,want,a state of extreme poverty
129,fist,a hand with the fingers clenched in the palm (as for hitting)
130,victory,a successful ending of a struggle or contest
131,carriage,a railcar where passengers ride
132,dream,a series of mental images and emotions occurring during sleep
133,unpleasant,NO DEFINITION FOUND
134,owner,(law) someone who owns (is legal possessor of) a business
135,track,a line or route along which something travels or moves
136,class,a collection of things sharing a common attribute
137,reader,a person who enjoys reading
138,public,people in general considered as a whole
139,reference,a remark that calls attention to something or someone
140,answer,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
141,review,a new appraisal or evaluation
142,equip,NO DEFINITION FOUND
143,pluck,the trait of showing courage and determination in spite of possible loss or injury
144,evening,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
145,letter,a written message addressed to a person or organization
146,shelter,a structure that provides privacy and protection from danger
147,discipline,a branch of knowledge
148,compensation,something (such as money) given or received as payment or reparation (as for a service or loss or injury)
149,eliminate,NO DEFINITION FOUND
150,tycoon,a very wealthy or powerful businessman
151,tire,hoop that covers a wheel
152,peasant,a country person
153,tick,a metallic tapping sound
154,syndrome,a complex of concurrent things
155,raw,informal terms for nakedness
156,market,the world of commercial activity where goods and services are bought and sold
157,wreck,something or someone that has suffered ruin or dilapidation
158,wagon,any of various kinds of wheeled vehicles drawn by an animal or a tractor
159,concentrate,the desired mineral that is left after impurities have been removed from mined ore
160,payment,a sum of money paid or a claim discharged
161,inhibition,(psychology) the conscious exclusion of unacceptable thoughts or desires
162,football,any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
163,tease,someone given to teasing (as by mocking or stirring curiosity)
164,clothes,clothing in general
165,license,a legal document giving official permission to do something
166,far,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
167,destruction,the termination of something by causing so much damage to it that it cannot be repaired or no longer exists
168,gain,a quantity that is added
169,edge,the boundary of a surface
170,sweat,salty fluid secreted by sweat glands
171,use,the act of using
172,plead,NO DEFINITION FOUND
173,aunt,the sister of your father or mother; the wife of your uncle
174,embark,NO DEFINITION FOUND
175,fantasy,imagination unrestricted by reality
176,sermon,an address of a religious nature (usually delivered during a church service)
177,kinship,a close connection marked by community of interests or similarity in nature or character
178,flatware,tableware that is relatively flat and fashioned as a single piece
179,thought,the content of cognition; the main thing you are thinking about
180,introduction,the act of beginning something new
181,table,a set of data arranged in rows and columns
182,sustain,NO DEFINITION FOUND
183,pole,a long (usually round) rod of wood or metal or plastic
184,virus,(virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
185,canvas,"a heavy, closely woven fabric (used for clothing or chairs or sails or tents)"
186,visible,NO DEFINITION FOUND
187,career,the particular occupation for which you are trained
188,conductor,the person who leads a musical group
189,coma,a state of deep and often prolonged unconsciousness; usually the result of disease or injury
190,exit,an opening that permits escape or release
191,pocket,a small pouch inside a garment for carrying small articles
192,warning,a message informing of danger
193,regret,sadness associated with some wrong done or some disappointment
194,communication,the activity of communicating; the activity of conveying information
195,safari,an overland journey by hunters (especially in Africa)
196,compete,NO DEFINITION FOUND
197,chaos,a state of extreme confusion and disorder
198,blast,a very long fly ball
199,present,the period of time that is happening now; any continuous stretch of time including the moment of speech
200,lean,the property possessed by a line or surface that departs from the vertical
201,tent,a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
202,fixture,an object firmly fixed in place (especially in a household)
203,dimension,the magnitude of something in a particular direction (especially length or width or height)
204,machinery,machines or machine systems collectively
205,statement,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
206,freckle,a small brownish spot (of the pigment melanin) on the skin
207,pause,a time interval during which there is a temporary cessation of something
208,station,a facility equipped with special equipment and personnel for a particular purpose
209,monk,a male religious living in a cloister and devoting himself to contemplation and prayer and work
210,person,a human being
211,captain,an officer holding a rank below a major but above a lieutenant
212,folkmusic,NO DEFINITION FOUND
213,cross,a wooden structure consisting of an upright post with a transverse piece
214,satellite,man-made equipment that orbits around the earth or the moon
215,protection,the activity of protecting someone or something
216,tribute,something given or done as an expression of esteem
217,porter,a person employed to carry luggage and supplies
218,cellphone,"a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
219,elaborate,NO DEFINITION FOUND
220,job,the principal activity in your life that you do to earn money
221,social,a party of people assembled to promote sociability and communal activity
222,confusion,disorder resulting from a failure to behave predictably
223,orange,round yellow to orange fruit of any of several citrus trees
224,curl,a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
225,presentation,the activity of formally presenting something (as a prize or reward)
226,hypnothize,NO DEFINITION FOUND
227,student,a learner who is enrolled in an educational institution
228,waste,any materials unused and rejected as worthless or unwanted
229,empirical,NO DEFINITION FOUND
230,disappear,NO DEFINITION FOUND
231,chord,a straight line connecting two points on a curve
232,terrace,usually paved outdoor area adjoining a residence
233,leader,a person who rules or guides or inspires others
234,dangerous,NO DEFINITION FOUND
235,arrangement,the thing arranged or agreed to
236,ready,poised for action
237,mother,a woman who has given birth to a child (also used as a term of address to your mother)
238,east,the cardinal compass point that is at 90 degrees
239,manufacturer,a business engaged in manufacturing some product
240,critic,a person who is professionally engaged in the analysis and interpretation of works of art
241,formal,a lavish dance requiring formal attire
242,Bible,the sacred writings of the Christian religions
243,science,a particular branch of scientific knowledge
244,Koran,the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina
245,separation,the state of lacking unity
246,strip,a relatively long narrow piece of something
247,justify,NO DEFINITION FOUND
248,bed,a piece of furniture that provides a place to sleep
249,tread,a step in walking or running
250,film,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
251,opera,a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
252,sacrifice,the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
253,discrimination,unfair treatment of a person or group on the basis of prejudice
254,demonstration,a show or display; the act of presenting something to sight or view
255,cunning,shrewdness as demonstrated by being skilled in deception
256,stubborn,NO DEFINITION FOUND
257,bracket,a category falling within certain defined limits
258,brain,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
259,hold,the act of grasping
260,myth,a traditional story accepted as history; serves to explain the world view of a people
261,stem,(linguistics) the form of a word after all affixes are removed
262,heart,the locus of feelings and intuitions
263,dominant,(music) the fifth note of the diatonic scale
264,mutation,(biology) an organism that has characteristics resulting from chromosomal alteration
265,tension,(psychology) a state of mental or emotional strain or suspense
266,digress,NO DEFINITION FOUND
267,problem,a state of difficulty that needs to be resolved
268,accompany,NO DEFINITION FOUND
269,change,an event that occurs when something passes from one state or phase to another
270,yard,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
271,innovation,a creation (a new device or process) resulting from study and experimentation
272,project,any piece of work that is undertaken or attempted
273,computing,the branch of engineering science that studies (with the aid of computers) computable processes and structures
274,current,a flow of electricity through a conductor
275,foreigner,a person who comes from a foreign country; someone who does not owe allegiance to your country
276,injection,the forceful insertion of a substance under pressure
277,competence,the quality of being adequately or well qualified physically and intellectually
278,dollar,the basic monetary unit in many countries; equal to 100 cents
279,sodium,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt)
280,other,NO DEFINITION FOUND
281,file,a set of related records (either written or electronic) kept together
282,assume,NO DEFINITION FOUND
283,thank,NO DEFINITION FOUND
284,mill,a plant consisting of one or more buildings with facilities for manufacturing
285,crusade,a series of actions advancing a principle or tending toward a particular end
286,stamp,the distinctive form in which a thing is made
287,pierce,14th President of the United States (1804-1869)
288,dismissal,a judgment disposing of the matter without a trial
289,heaven,any place of complete bliss and delight and peace
290,tone,the quality of a person's voice
291,express,mail that is distributed by a rapid and efficient system
292,grip,the act of grasping
293,layer,single thickness of usually some homogeneous substance
294,terrify,NO DEFINITION FOUND
295,telephone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
296,float,the time interval between the deposit of a check in a bank and its payment
297,mind,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
298,hardship,a state of misfortune or affliction
299,brick,rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
300,heavy,an actor who plays villainous roles
301,charter,a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
302,bullet,a projectile that is fired from a gun
303,salesperson,a person employed to represent a business and to sell its merchandise (as to customers in a store or to customers who are visited)
304,ancestor,someone from whom you are descended (but usually more remote than a grandparent)
305,industry,the people or companies engaged in a particular kind of commercial enterprise
306,area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
307,headquarters,(usually plural) the office that serves as the administrative center of an enterprise
308,stuff,the tangible substance that goes into the makeup of a physical object
309,decline,change toward something smaller or lower
310,possibility,a future prospect or potential
311,scholar,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
312,size,the physical magnitude of something (how big it is)
313,instal,NO DEFINITION FOUND
314,opposed,NO DEFINITION FOUND
315,hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
316,flag,emblem usually consisting of a rectangular piece of cloth of distinctive design
317,bubble,"a hollow globule of gas (e.g., air or carbon dioxide)"
318,swim,the act of swimming
319,favor,an act of gracious kindness
320,minor,a young person of either sex
321,budge,United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
322,missile,a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
323,handy,United States blues musician who transcribed and published traditional blues music (1873-1958)
324,leadership,the activity of leading
325,steel,an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range
326,sight,an instance of visual perception
327,cancel,a notation cancelling a previous sharp or flat
328,case,an occurrence of something
329,cold,a mild viral infection involving the nose and respiratory passages (but not the lungs)
330,constitutional,a regular walk taken as a form of exercise
331,beard,the hair growing on the lower part of a man's face
332,likely,NO DEFINITION FOUND
333,fiction,a literary work based on the imagination and not necessarily on fact
334,dilute,NO DEFINITION FOUND
335,flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
336,excavate,NO DEFINITION FOUND
337,include,NO DEFINITION FOUND
338,ring,a characteristic sound
339,bill,a statute in draft before it becomes law
340,estate,everything you own; all of your assets (whether real property or personal property) and liabilities
341,hostage,a prisoner who is held by one party to insure that another party will meet specified terms
342,cancer,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
343,addition,a component that is added to something to improve it
344,colony,a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
345,feature,a prominent attribute or aspect of something
346,deprive,NO DEFINITION FOUND
347,golf,a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
348,abridge,NO DEFINITION FOUND
349,salmon,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn
350,garage,an outbuilding (or part of a building) for housing automobiles
351,conception,an abstract or general idea inferred or derived from specific instances
352,cord,a line made of twisted fibers or threads
353,wrestle,the act of engaging in close hand-to-hand combat
354,restaurant,a building where people go to eat
355,circumstance,a condition that accompanies or influences some event or activity
356,west,the countries of (originally) Europe and (now including) North America and South America
357,slant,a biased way of looking at or presenting something
358,sin,estrangement from god
359,soul,the immaterial part of a person; the actuating cause of an individual life
360,bond,an electrical force linking atoms
361,isolation,a state of separation between persons or groups
362,hit,(baseball) a successful stroke in an athletic contest (especially in baseball)
363,display,something intended to communicate a particular impression
364,quarter,one of four equal parts
365,organ,a fully differentiated structural and functional unit in an animal that is specialized for some particular function
366,mayor,the head of a city government
367,fastidious,NO DEFINITION FOUND
368,weigh,NO DEFINITION FOUND
369,essential,anything indispensable
370,whisper,speaking softly without vibration of the vocal cords
371,identity,the distinct personality of an individual regarded as a persisting entity
372,creed,any system of principles or beliefs
373,row,an arrangement of objects or people side by side in a line
374,consolidate,NO DEFINITION FOUND
375,sale,a particular instance of selling
376,step,any maneuver made as part of progress toward a goal
377,worker,a person who works at a specific occupation
378,chip,a small fragment of something broken off from the whole
379,strike,a group's refusal to work in protest against low pay or bad work conditions
380,ridge,a long narrow natural elevation or striation
381,banner,long strip of cloth or paper used for decoration or advertising
382,swing,a state of steady vigorous action that is characteristic of an activity
383,economist,an expert in the science of economics
384,coffee,a beverage consisting of an infusion of ground coffee beans
385,pursuit,the act of pursuing in an effort to overtake or capture
386,lonely,NO DEFINITION FOUND
387,harsh,NO DEFINITION FOUND
388,arrange,NO DEFINITION FOUND
389,cherry,wood of any of various cherry trees especially the black cherry
390,truck,an automotive vehicle suitable for hauling
391,advantage,the quality of having a superior or more favorable position
392,reliable,NO DEFINITION FOUND
393,analysis,an investigation of the component parts of a whole and their relations in making up the whole
394,swell,the undulating movement of the surface of the open sea
395,emphasis,special importance or significance
396,despair,a state in which all hope is lost or absent
397,bloody,NO DEFINITION FOUND
398,sunshine,the rays of the sun
399,explicit,NO DEFINITION FOUND
400,neighbour,a person who lives (or is located) near another
401,award,a grant made by a law court
402,evoke,NO DEFINITION FOUND
403,museum,a depository for collecting and displaying objects having scientific or historical or artistic value
404,edition,the form in which a text (especially a printed book) is published
405,vegetation,all the plant life in a particular region or period
406,see,the seat within a bishop's diocese where his cathedral is located
407,load,weight to be borne or conveyed
408,broadcast,message that is transmitted by radio or television
409,bake,NO DEFINITION FOUND
410,tooth,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
411,spirit,the vital principle or animating force within living things
412,looting,plundering during riots or in wartime
413,black,the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
414,hotdog,someone who performs dangerous stunts to attract attention to himself
415,bother,an angry disturbance
416,matter,a vaguely specified concern
417,stool,a simple seat without a back or arms
418,advance,a movement forward
419,limited,public transport consisting of a fast train or bus that makes only a few scheduled stops
420,recruit,a recently enlisted soldier
421,land,the land on which real estate is located
422,liberal,a person who favors a political philosophy of progress and reform and the protection of civil liberties
423,understand,NO DEFINITION FOUND
424,axis,a straight line through a body or figure that satisfies certain conditions
425,expectation,belief about (or mental picture of) the future
426,level,a position on a scale of intensity or amount or quality
427,grudge,a resentment strong enough to justify retaliation
428,mirror,polished surface that forms images by reflecting light
429,gene,(genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
430,tune,a succession of notes forming a distinctive sequence
431,fever,a rise in the temperature of the body; frequently a symptom of infection
432,coerce,NO DEFINITION FOUND
433,sleeve,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
434,exclude,NO DEFINITION FOUND
435,write,NO DEFINITION FOUND
436,dead,people who are no longer living
437,element,an abstract part of something
438,auditor,someone who listens attentively
439,linger,NO DEFINITION FOUND
440,tactic,a plan for attaining a particular goal
441,despise,NO DEFINITION FOUND
442,treatment,care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
443,bottom,the lower side of anything
444,neutral,one who does not side with any party in a war or dispute
445,domestic,a servant who is paid to perform menial tasks around the household
446,tempt,NO DEFINITION FOUND
447,trace,a just detectable amount
448,consumer,a person who uses goods or services
449,design,the act of working out the form of something (as by making a sketch or outline or plan)
450,draft,a document ordering the payment of money; drawn by one person or bank on another
451,user,a person who makes use of a thing; someone who uses or employs something
452,moving,NO DEFINITION FOUND
453,rice,grains used as food either unpolished or more often polished
454,threshold,the starting point for a new state or experience
455,separate,a separately printed article that originally appeared in a larger publication
456,wake,the consequences of an event (especially a catastrophic event)
457,objective,the goal intended to be attained (and which is believed to be attainable)
458,dominate,NO DEFINITION FOUND
459,deep,the central and most intense or profound part
460,composer,someone who composes music as a profession
461,temporary,a worker (especially in an office) hired on a temporary basis
462,candidate,a politician who is running for public office
463,discovery,the act of discovering something
464,continuation,the act of continuing an activity without interruption
465,galaxy,a splendid assemblage (especially of famous people)
466,environment,the totality of surrounding conditions
467,unity,an undivided or unbroken completeness or totality with nothing wanting
468,pace,the rate of moving (especially walking or running)
469,elapse,NO DEFINITION FOUND
470,legislature,persons who make or amend or repeal laws
471,understanding,the cognitive condition of someone who understands
472,color,a visual attribute of things that results from the light they emit or transmit or reflect
473,plane,an aircraft that has a fixed wing and is powered by propellers or jets
474,expect,NO DEFINITION FOUND
475,difficulty,an effort that is inconvenient
476,touch,the event of something coming in contact with the body
477,era,a period marked by distinctive character or reckoned from a fixed point or event
478,perform,NO DEFINITION FOUND
479,factory,a plant consisting of one or more buildings with facilities for manufacturing
480,service,work done by one person or group that benefits another
481,rubbish,worthless material that is to be disposed of
482,center,an area that is approximately central within some larger region
483,silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
484,adoption,the act of accepting with approval; favorable reception
485,perfume,a distinctive odor that is pleasant
486,criticism,disapproval expressed by pointing out faults or shortcomings
487,bleed,NO DEFINITION FOUND
488,closed,NO DEFINITION FOUND
489,publicity,a message issued in behalf of some product or cause or idea or person or institution
490,trouble,a source of difficulty
491,banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
492,swarm,a moving crowd
493,reward,a recompense for worthy acts or retribution for wrongdoing
494,thanks,an acknowledgment of appreciation
495,kick,the act of delivering a blow with the foot
496,voter,a citizen who has a legal right to vote
497,mystery,something that baffles understanding and cannot be explained
498,coin,a flat metal piece (usually a disc) used as money
499,mud,water soaked soil; soft wet earth
500,loot,goods or money obtained illegally
501,vein,a blood vessel that carries blood from the capillaries toward the heart
502,night,the time after sunset and before sunrise while it is dark outside
503,banquet,a ceremonial dinner party for many people
504,relative,a person related by blood or marriage
505,follow,NO DEFINITION FOUND
506,radiationsickness,NO DEFINITION FOUND
507,pool,an excavation that is (usually) filled with water
508,sanctuary,a consecrated place where sacred objects are kept
509,rack,framework for holding objects
510,trolley,a wheeled vehicle that runs on rails and is propelled by electricity
511,relieve,NO DEFINITION FOUND
512,jet,an airplane powered by one or more jet engines
513,fund,a reserve of money set aside for some purpose
514,action,something done (usually as opposed to something said)
515,ash,the residue that remains when something is burned
516,midnight,12 o'clock at night; the middle of the night
517,password,a secret word or phrase known only to a restricted group
518,sentence,a string of words satisfying the grammatical rules of a language
519,bathtub,a relatively large open container that you fill with water and use to wash the body
520,census,a periodic count of the population
521,censorship,counterintelligence achieved by banning or deleting any information of value to the enemy
522,rehearsal,a practice session in preparation for a public performance (as of a play or speech or concert)
523,eavesdrop,NO DEFINITION FOUND
524,reasonable,NO DEFINITION FOUND
525,fossil,someone whose style is out of fashion
526,month,one of the twelve divisions of the calendar year
527,greet,NO DEFINITION FOUND
528,retire,NO DEFINITION FOUND
529,evaluate,NO DEFINITION FOUND
530,deserve,NO DEFINITION FOUND
531,salt,a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal)
532,video,the visible part of a television transmission
533,theft,the act of taking something from someone unlawfully
534,care,the work of providing treatment for or attending to someone or something
535,bell,a hollow device made of metal that makes a ringing sound when struck
536,car,a motor vehicle with four wheels; usually propelled by an internal combustion engine
537,extension,a mutually agreed delay in the date set for the completion of a job or payment of a debt
538,lace,a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)
539,fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
540,shed,an outbuilding with a single story; used for shelter or storage
541,basic,a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
542,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
543,asylum,a shelter from danger or hardship
544,fire,the event of something burning (often destructive)
545,palace,a large and stately mansion
546,restoration,the reign of Charles II in England; 1660-1685
547,retiree,someone who has retired from active working
548,infinite,the unlimited expanse in which everything is located
549,sun,the star that is the source of light and heat for the planets in the solar system
550,amuse,NO DEFINITION FOUND
551,roar,a deep prolonged loud noise
552,rightwing,NO DEFINITION FOUND
553,unaware,NO DEFINITION FOUND
554,grind,an insignificant student who is ridiculed as being affected or boringly studious
555,eat,NO DEFINITION FOUND
556,approach,ideas or actions intended to deal with a problem or situation
557,butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
558,contrary,a relation of direct opposition
559,conflict,an open clash between two opposing groups (or individuals)
560,half,one of two equal parts of a divisible whole
561,enfix,NO DEFINITION FOUND
562,pipe,a tube with a small bowl at one end; used for smoking tobacco
563,examination,the act of examining something closely (as for mistakes)
564,scene,the place where some action occurs
565,face,the front of the human head from the forehead to the chin and ear to ear
566,spit,a narrow strip of land that juts out into the sea
567,stab,a sudden sharp feeling
568,cooperate,NO DEFINITION FOUND
569,undertake,NO DEFINITION FOUND
570,wealth,the state of being rich and affluent; having a plentiful supply of material goods and money
571,fleet,group of aircraft operating together under the same ownership
572,neck,the part of an organism (human or animal) that connects the head to the rest of the body
573,tribe,a social division of (usually preliterate) people
574,heel,the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
575,ethnic,a person who is a member of an ethnic group
576,tired,NO DEFINITION FOUND
577,opinion,a personal belief or judgment that is not founded on proof or certainty
578,home,where you live at a particular time
579,inflate,NO DEFINITION FOUND
580,directory,an alphabetical list of names and addresses
581,glasses,optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
582,psychology,the science of mental life
583,worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae
584,TRUE,proper alignment; the property possessed by something that is in correct or proper alignment
585,think,an instance of deliberate thinking
586,bomb,an explosive device fused to explode under specific conditions
587,authorise,NO DEFINITION FOUND
